"Reference","Value","Footprint","Datasheet","Distribution Link","Manufacturer Part Number","Manufaturer","Qty"
"C1-C3, C10, C14","4u7","Capacitor_SMD:C_0603_1608Metric","~","https://eu.mouser.com/ProductDetail/Murata-Electronics/GRT188R61E475KE13D?qs=sGAEpiMZZMvsSlwiRhF8qquPIBdUMwzglrW87%252BfLGnyboRbDrDRSvA%3D%3D","GRT188R61E475KE13D","Murata Electronics","5"
"C4-C9, C11-C13, C19","100n","Capacitor_SMD:C_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/Wurth-Elektronik/885012205092?qs=sGAEpiMZZMvsSlwiRhF8qrQG6leidpLj0T9QaGF%252B%2Ff9kk9mBvhhp7w%3D%3D","885012205092","Wurth Elektronik","10"
"C15","0p8","Capacitor_SMD:C_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1HR80BA01D?qs=e%252BE4OD6MgMezPYPintwvrA%3D%3D","GRM1555C1HR80BA01D","Murata Electronics","1"
"C16","0p3","Capacitor_SMD:C_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/Murata-Electronics/GRM1555C1HR30WA01D?qs=e%252BE4OD6MgMcS%252BbE0ktTutg%3D%3D","GRM1555C1HR30WA01D","Murata Electronics","1"
"C17, C18","10p","Capacitor_SMD:C_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/KEMET/C0402C100J5RAC?qs=9vOqFld9vZUpzu%252Bf5E%252Bmyw%3D%3D","C0402C100J5RAC","KEMET","2"
"D1, D2","LED","LED_SMD:LED_0402_1005Metric","~","-- mixed values --","-- mixed values --","Stanley Electric","2"
"FLT1","DLF162500LT-5028A1","flying-byte-v1-pcb-footprints:DLF162500LT-5028A1","https://product.tdk.com/system/files/dam/doc/product/rf/rf/filter/catalog/rf_lpf_dlf162500lt-5028a1_en.pdf","https://eu.mouser.com/ProductDetail/TDK/DLF162500LT-5028A1?qs=U%2FZX79kHR%2FlwIbAISCs3qA%3D%3D&_gl=1*j1vw6c*_ga*dW5kZWZpbmVk*_ga_15W4STQT4T*dW5kZWZpbmVk*_ga_1KQLCYKRX3*dW5kZWZpbmVk","DLF162500LT-5028A1","TDK","1"
"J1","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","https://eu.mouser.com/ProductDetail/Hirose-Connector/U.FL-R-SMT01?qs=Ux3WWAnHpjDV3tCCbDi65g%3D%3D","U.FL-R-SMT(01)","Hirose Connector","1"
"J2","Conn_ARM_SWD_TagConnect_TC2030","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf","","","","1"
"J3","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","https://eu.mouser.com/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D","USB4105-GF-A","GCT","1"
"J4","Conn_01x04","Connector_Molex:Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical","~","https://eu.mouser.com/ProductDetail/Molex/53048-0410?qs=359VwiUTsp2msj5Tobchuw%3D%3D","53048-0410","Molex","1"
"L1","10n","Inductor_SMD:L_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/Murata-Electronics/LQG15WZ10NJ02D?qs=60uY6ySkanT1eJ7IaeAl%2Fg%3D%3D","LQG15WZ10NJ02D","Murata Electronics","1"
"L2","10u","Inductor_SMD:L_0805_2012Metric","~","https://eu.mouser.com/ProductDetail/Murata-Electronics/LQM21FN100M80L?qs=%2F%252BYoplLUB5jHVlRNWlo0OQ%3D%3D","LQM21FN100M80L","Murata Electronics","1"
"L3","2n7","Inductor_SMD:L_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/Murata-Electronics/LQG15HS2N7S02D?qs=ctz47l0uL1AKrLI74yO5Qw%3D%3D","LQG15HS2N7S02D","Murata Electronics","1"
"R1-R4, R9","220R","Resistor_SMD:R_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/SEI-Stackpole/RNCF0402BKE220R?qs=sGAEpiMZZMtlubZbdhIBIFtUjlT065uiOakbzrFFjRk%3D","RNCF0402BKE220R","SEI Stackpole","5"
"R5, R6, R8","5k1","Resistor_SMD:R_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/SEI-Stackpole/RNCF0402BKE5K10?qs=sGAEpiMZZMtlubZbdhIBIFtUjlT065ui8R6ml139cik%3D","RNCF0402BKE5K10","SEI Stackpole","3"
"R7","0","Resistor_SMD:R_0402_1005Metric","~","https://eu.mouser.com/ProductDetail/Vishay-Beyschlag/MCS04020Z0000ZE000?qs=1PkaV7r7jRAw43UYAxSbQw%3D%3D","MCS04020Z0000ZE000","Vishay / Beyschlag","1"
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","https://eu.mouser.com/ProductDetail/CK/RS282G05A3SMRT?qs=Gufeu08L%2Fl2VU43xmeLp5Q%3D%3D","RS282G05A3SMRT","C&K","1"
"U1","STM32WB55CEU6","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf","https://eu.mouser.com/ProductDetail/STMicroelectronics/STM32WB55CEU6?qs=l7cgNqFNU1h38DnIgipayw%3D%3D","STM32WB55CEU6","STMicroelectronics","1"
"U2","USBLC6-2SC6_MOD","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","https://eu.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D","USBLC6-2SC6","STMicroelectronics","1"
"U3","MIC5365-3.3YD5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf","https://eu.mouser.com/ProductDetail/Microchip-Technology/MIC5365-3.3YD5-TR?qs=U6T8BxXiZAXzRinbbfZRrg%3D%3D","MIC5365-3.3YD5-TR","Microchip Technology","1"
"X1","32MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","https://eu.mouser.com/ProductDetail/NDK/NX2016SA-32M-EXS00A-CS06465?qs=w%2Fv1CP2dgqr82b0JjRnv4A%3D%3D","NX2016SA-32M-EXS00A-CS06465","NDK","1"
"X2","32kHz768","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","~","https://eu.mouser.com/ProductDetail/NDK/NX2012SA-32.768K-STD-MUB-1?qs=55YtniHzbhA%252B6%2Fl1MwFZaQ%3D%3D","NX2012SA-32.768K-STD-MUB-1","NDK","1"
